"location","date","daily_average","total_air_travels","non_air_num","estimate"
"St Kitts-Nevis",2020-02-26,9.33839782667108e-05,208000,0,19.4238674794758
"St Lucia",2020-02-26,0.00107837846514839,208000,0,224.302720750865
"St Maarten (Dutch Part)",2020-02-26,9.12525322577702e-05,208000,0,18.9805267096162
"St Vincent-Grenad",2020-02-26,9.36504090178283e-05,208000,0,19.4792850757083
"Sudan",2020-02-26,0.00019462766369139,208000,0,40.4825540478091
"Suriname",2020-02-26,7.59327640685095e-06,208000,0,1.579401492625
"Svalbard",2020-02-26,1.41208298092316e-05,208000,0,2.93713260032017
"Swaziland",2020-02-26,3.33038438896971e-06,208000,0,0.6927199529057
"Sweden",2020-02-26,0.0113995061173167,208000,0,2371.09727240187
"Switzerland",2020-02-26,0.0457632115349595,208000,0,9518.74799927158
"Taiwan",2020-02-26,0.000623314742239572,208000,0,129.649466385831
"Tajikistan",2020-02-26,2.17141062160825e-05,208000,0,4.51653409294516
"Tanzania",2020-02-26,0.000616387542710515,208000,0,128.208608883787
"Thailand",2020-02-26,0.00947361143286325,208000,0,1970.51117803556
"Togo",2020-02-26,2.85080903695807e-05,208000,0,5.92968279687279
"Tonga",2020-02-26,1.33215375558789e-06,208000,0,0.277087981162281
"Trinidad-Tobago",2020-02-26,0.000699647152434757,208000,0,145.526607706429
"Tunisia",2020-02-26,0.000695917121919111,208000,0,144.750761359175
"Turkey",2020-02-26,0.00959403813236839,208000,0,1995.55993153263
"Turkmenistan",2020-02-26,0.000115364515233911,208000,0,23.9958191686535
"Turks-Caicos",2020-02-26,6.03465651281312e-05,208000,0,12.5520855466513
"Uganda",2020-02-26,0.000457728030419997,208000,0,95.2074303273594
"Ukraine",2020-02-26,0.00227092250715067,208000,0,472.351881487339
"United Arab Emirates",2020-02-26,0.0158206580013617,208000,0,3290.69686428323
"United States",2020-02-26,0.0655951177097719,208000,0,13643.7844836326
"Uruguay",2020-02-26,0.000107238377324825,208000,0,22.3055824835636
"Uzbekistan",2020-02-26,8.87214401221532e-05,208000,0,18.4540595454079
"Vanuatu",2020-02-26,0,208000,0,0
"Venezuela",2020-02-26,2.73091519895517e-05,208000,0,5.68030361382675
"Viet Nam",2020-02-26,0.00189685373258159,208000,0,394.545576376971
"Virgin Islands (GB)",2020-02-26,4.42275046855178e-05,208000,0,9.1993209745877
"Virgin Islands (US)",2020-02-26,1.03907992935855e-05,208000,0,2.16128625306578
"Zambia",2020-02-26,0.000142407236472345,208000,0,29.6207051862478
"Zimbabwe",2020-02-26,0.000508616303883455,208000,0,105.792191207759
"French Guiana",2020-02-26,1.59858450670546e-06,208000,0,0.332505577394736
"Syria",2020-02-26,0,208000,0,0
"Timor-leste",2020-02-26,0,208000,0,0
"Afghanistan",2020-02-27,0.000265498243488666,232000,0,61.5955924893705
"Albania",2020-02-27,0.0014164790883166,232000,0,328.623148489451
"Algeria",2020-02-27,0.000850180526816189,232000,0,197.241882221356
"Angola",2020-02-27,0.000185036156651157,232000,0,42.9283883430684
"Antigua-Barbuda",2020-02-27,0.00107198412712157,232000,0,248.700317492204
"Argentina",2020-02-27,0.00145311331659527,232000,0,337.122289450103
"Armenia",2020-02-27,5.26200733457215e-05,232000,0,12.2078570162074
"Aruba",2020-02-27,3.9698181916519e-05,232000,0,9.20997820463241
"Australia",2020-02-27,0.0101090487742787,232000,0,2345.29931563266
"Austria",2020-02-27,0.0173995266324845,232000,0,4036.6901787364
