state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
1746000	-446.18818926555775	-26.223849170341833	-419.9643400952159	68.0	0.21764958186833813	0.21764958186833916	0.45706921392041266	2.9540146332194035	0.0	77.0	70.0	7.0	77.0
1750500	-427.4570774386201	-23.40930823759326	-404.0477692010268	85.0	0.19977024507941332	0.199770245079414	0.06036536300526125	1.6165167772154734	0.0	78.0	76.0	2.0	78.0
1755000	-444.21294004680533	-28.191468466062876	-416.02147158074246	118.0	0.2522951338819211	0.2522951338819224	0.1036921492637636	1.3206637471702736	0.0	76.0	74.0	2.0	76.0
1759500	-444.94462572214576	-33.439528455782686	-411.50509726636307	325.0	0.27788712831633433	0.2778871283163347	0.1517871551773247	3.0541396671832683	0.0	78.0	76.0	2.0	78.0
1764000	-443.4867789558434	-22.889599315316644	-420.5971796405268	274.0	0.1690574010031461	0.16905740100314548	0.24477160583419916	5.244994010224981	0.0	75.0	72.0	3.0	75.0
1768500	-442.2453402532041	-29.089456038980043	-413.1558842142241	391.0	0.2525854943822714	0.2525854943822718	0.27960021162751314	0.9793179686175272	0.0	79.0	76.0	3.0	79.0
1773000	-447.95432040809993	-28.79960903434594	-419.15471137375397	135.0	0.24236490804662061	0.24236490804662053	0.3143704358012613	1.9586818034887785	0.0	80.0	76.0	4.0	80.0
1777500	-446.7621262696861	-35.758317424269364	-411.00380884541676	57.0	0.28808281890488285	0.2880828189048839	0.2604898809668387	3.1075212066499516	0.0	76.0	71.0	5.0	76.0
1782000	-432.63342408124834	-32.94397968145485	-399.6894443997935	77.0	0.2572031563884381	0.2572031563884384	0.30065156831371986	4.8926667816762235	0.0	74.0	73.0	2.0	74.0
1786500	-427.6405105998938	-37.3966421352436	-390.2438684646502	220.0	0.28248185123114916	0.28248185123115016	0.4922673239664891	5.953542576409486	0.0	75.0	72.0	3.0	75.0
1791000	-434.25638195861075	-27.153803586079576	-407.1025783725312	498.0	0.21982134683819424	0.21982134683819363	0.17541640514496415	2.7107203174201318	0.0	74.0	69.0	5.0	74.0
