cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
B_DTA_MCC_155,8,2020.20212297659,2020-03-15,2020.22131147541,2020.33606557377,B-DTA-20200818.combined.MCC.tree,0.5,2020.21293027907,2020.20212297659,2020.21293027907,2020.20212297659
B_DTA_MCC_156,2,2020.25499253377,2020-04-03,2020.26229508197,2020.36885245902,B-DTA-20200818.combined.MCC.tree,0.5,2020.26225477304,2020.21977098365,2020.26226514261,2020.18891850434
B_DTA_MCC_157,3,2020.21356669656,2020-03-19,2020.22950819672,2020.41803278689,B-DTA-20200818.combined.MCC.tree,0.5,2020.22869564747,2020.19093335561,2020.22869564747,2020.16388984373
B_DTA_MCC_160,6,2020.17874832287,2020-03-06,2020.2131147541,2020.31147540984,B-DTA-20200818.combined.MCC.tree,0.5,2020.17874832287,2020.17874832287,2020.17874832287,2020.17874832287
B_DTA_MCC_161,3,2020.18502138982,2020-03-09,2020.1912568306,2020.24043715847,B-DTA-20200818.combined.MCC.tree,0.5,2020.18502138982,2020.18502138982,2020.18502138982,2020.18502138982
B_DTA_MCC_162,3,2020.19660667943,2020-03-13,2020.20765027322,2020.22131147541,B-DTA-20200818.combined.MCC.tree,0.5,2020.19660667943,2020.19660667943,2020.19660667943,2020.19660667943
B_DTA_MCC_165,2,2020.2068667983,2020-03-17,2020.21584699454,2020.29508196721,B-DTA-20200818.combined.MCC.tree,0.5,2020.21584087737,2020.18450771233,2020.21584087737,2020.17201201214
B_DTA_MCC_167,10,2020.16859720017,2020-03-03,2020.1912568306,2020.26775956284,B-DTA-20200818.combined.MCC.tree,0.5,2020.16859720017,2020.16859720017,2020.16859720017,2020.16859720017
B_DTA_MCC_168,4,2020.20875847875,2020-03-17,2020.22131147541,2020.26229508197,B-DTA-20200818.combined.MCC.tree,0.5,2020.20875847875,2020.20875847875,2020.20875847875,2020.20875847875
B_DTA_MCC_17,16,2020.12331659505,2020-02-15,2020.16120218579,2020.26775956284,B-DTA-20200818.combined.MCC.tree,0.5,2020.12331659505,2020.12331659505,2020.12331659505,2020.12331659505
B_DTA_MCC_171,8,2020.21546525127,2020-03-20,2020.22404371585,2020.32240437158,B-DTA-20200818.combined.MCC.tree,0.5,2020.21546525127,2020.21546525127,2020.21546525127,2020.21546525127
B_DTA_MCC_172,446,2020.14311112142,2020-02-22,2020.18306010929,2020.40163934426,B-DTA-20200818.combined.MCC.tree,0.5,2020.15621059031,2020.12224288292,2020.16097802456,2020.10621699861
B_DTA_MCC_177,2,2020.21882749153,2020-03-21,2020.2349726776,2020.24316939891,B-DTA-20200818.combined.MCC.tree,0.5,2020.2334469277,2020.1972665748,2020.23422998066,2020.17897721646
