sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/NORT-289261/2020,UK,UK-ENG,B.1.p11,2020-03-28,2020.23770491803,England/NORT-289261/2020,B.1.pruned_DTA_MCC_197
England/NORT-2892AD/2020,UK,UK-ENG,B.1,2020-03-28,2020.23770491803,England/NORT-2892AD/2020,B.1.pruned_DTA_MCC_234
England/NORT-289313/2020,UK,UK-ENG,B.1.p11,2020-03-29,2020.24043715847,England/NORT-289313/2020,B.1.pruned_DTA_MCC_17
England/NORT-28942F/2020,UK,UK-ENG,B.1.5,2020-03-29,2020.24043715847,England/NORT-28942F/2020,B.1.pruned_DTA_MCC_91
England/NORT-28947A/2020,UK,UK-ENG,B.1,2020-03-29,2020.24043715847,England/NORT-28947A/2020,B.1.pruned_DTA_MCC_461
England/NORT-28953B/2020,UK,UK-ENG,B.1,2020-03-30,2020.24316939891,England/NORT-28953B/2020,B.1.pruned_DTA_MCC_461
England/NORT-289595/2020,UK,UK-ENG,B.1.5,2020-03-30,2020.24316939891,England/NORT-289595/2020,B.1.pruned_DTA_MCC_541
England/NORT-2895B3/2020,UK,UK-ENG,B.1.p11,2020-03-30,2020.24316939891,England/NORT-2895B3/2020,B.1.pruned_DTA_MCC_17
England/NORT-2895D1/2020,UK,UK-ENG,B.1.p11,2020-03-30,2020.24316939891,England/NORT-2895D1/2020,B.1.pruned_DTA_MCC_17
England/NORT-289726/2020,UK,UK-ENG,B.1.p11,2020-03-31,2020.24590163934,England/NORT-289726/2020,B.1.pruned_DTA_MCC_176
England/NORT-28979F/2020,UK,UK-ENG,B.1,2020-04-01,2020.24863387978,England/NORT-28979F/2020,B.1.pruned_DTA_MCC_461
England/NORT-289814/2020,UK,UK-ENG,B.1,2020-04-01,2020.24863387978,England/NORT-289814/2020,B.1.pruned_DTA_MCC_461
England/NORT-289832/2020,UK,UK-ENG,B.1,2020-04-01,2020.24863387978,England/NORT-289832/2020,B.1.pruned_DTA_MCC_461
England/NORT-289902/2020,UK,UK-ENG,B.1.p11,2020-04-01,2020.24863387978,England/NORT-289902/2020,B.1.pruned_DTA_MCC_17
England/NORT-289E8B/2020,UK,UK-ENG,B.1,2020-04-06,2020.26229508197,England/NORT-289E8B/2020,B.1.pruned_DTA_MCC_542
England/NORT-289F1F/2020,UK,UK-ENG,B.1.5,2020-04-07,2020.2650273224,England/NORT-289F1F/2020,B.1.pruned_DTA_MCC_286
England/NORT-28ABDE/2020,UK,UK-ENG,B.1,2020-04-15,2020.2868852459,England/NORT-28ABDE/2020,B.1.pruned_DTA_MCC_543
England/NORT-28B214/2020,UK,UK-ENG,B.1,2020-04-18,2020.29508196721,England/NORT-28B214/2020,B.1.pruned_DTA_MCC_461
England/NORT-28B2BA/2020,UK,UK-ENG,B.1.5,2020-04-18,2020.29508196721,England/NORT-28B2BA/2020,B.1.pruned_DTA_MCC_544
England/NORT-290AD8/2020,UK,UK-ENG,B.1,2020-04-30,2020.32786885246,England/NORT-290AD8/2020,B.1.pruned_DTA_MCC_545
England/NORT-291837/2020,UK,UK-ENG,B.1.p11,2020-04-29,2020.32513661202,England/NORT-291837/2020,B.1.pruned_DTA_MCC_17
England/NORT-291855/2020,UK,UK-ENG,B.1.5,2020-04-22,2020.30601092896,England/NORT-291855/2020,B.1.pruned_DTA_MCC_227
