cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower,shift,tmrca_shifted,tmrca_shifted_calendar,detection_lag
B.1.pruned_DTA_MCC_544,2,2020.26569026611,2020-04-07,2020.27868852459,2020.29508196721,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.27595330574,2020.23380673097,2020.27595330574,2020.23380673097,15.1758315,2020.22422624562,2020-03-23,20
B.1.pruned_DTA_MCC_545,2,2020.28725857044,2020-04-15,2020.31693989071,2020.32786885246,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.31092498725,2020.24522530578,2020.31253710025,2020.22151826507,15.1758315,2020.24579454995,2020-03-31,26
B.1.pruned_DTA_MCC_547,3,2020.21644684458,2020-03-20,2020.23770491803,2020.2650273224,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.23408712789,2020.20030928351,2020.2351624792,2020.18638021894,10.3568831666667,2020.18814934959,2020-03-10,18
B.1.pruned_DTA_MCC_551,2,2020.24648866287,2020-03-31,2020.25136612022,2020.25683060109,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25103306841,2020.23138341442,2020.25116549184,2020.23138341442,15.1758315,2020.20502464238,2020-03-16,17
B.1.pruned_DTA_MCC_555,2,2020.24137893612,2020-03-29,2020.27049180328,2020.27868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26247949605,2020.21784748839,2020.26781968664,2020.20454083367,15.1758315,2020.19991491563,2020-03-14,26
B.1.pruned_DTA_MCC_557,9,2020.24638621072,2020-03-31,2020.26775956284,2020.38524590164,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26235389211,2020.22725557985,2020.26691862053,2020.20671848747,3.93161872222222,2020.23564408306,2020-03-27,12
B.1.pruned_DTA_MCC_559,2,2020.21647643639,2020-03-20,2020.23770491803,2020.28142076503,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.23459062545,2020.19914247457,2020.23590763489,2020.18714872483,15.1758315,2020.1750124159,2020-03-05,23
B.1.pruned_DTA_MCC_562,20,2020.18731611024,2020-03-10,2020.20765027322,2020.31693989071,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.19928770339,2020.17000502484,2020.20343391873,2020.15336669766,2.164671,2020.1814017086,2020-03-07,10
B.1.pruned_DTA_MCC_565,4,2020.31494605286,2020-04-25,2020.3306010929,2020.3606557377,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.32874947655,2020.3054398232,2020.32874947655,2020.3054398232,7.947409,2020.29323182062,2020-04-17,14
B.1.pruned_DTA_MCC_566,2,2020.25666269169,2020-04-04,2020.2650273224,2020.42349726776,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.2649706241,2020.22527889176,2020.2649706241,2020.18057208496,15.1758315,2020.2151986712,2020-03-20,18
