Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.1_DTA_MCC_97,26,20,10,09/03/2020,08/05/2020,60,342.4498687,142.2484436,143.6600686
B.1.1_DTA_MCC_243,26,25,13,25/03/2020,04/05/2020,40,562.4916392,177.3638779,185.352166
B.1.1_DTA_MCC_286,26,20,10,23/03/2020,14/05/2020,52,342.4498687,131.4486853,140.0509789
B.1.pruned_DTA_MCC_305,26,24,9,21/03/2020,25/04/2020,35,483.0941446,100.2599515,56.04443915
B.1.X_DTA_MCC_55,26,25,3,20/04/2020,09/06/2020,50,135.0968466,19.34134159,0
B.1.X_DTA_MCC_336,26,26,2,23/04/2020,19/05/2020,26,27.95141867,2.150109128,0
B.1.1_DTA_MCC_284,25,21,6,21/03/2020,22/04/2020,32,543.4377975,103.6237114,14.21421548
B.1.1_DTA_MCC_466,25,25,4,29/03/2020,28/04/2020,30,108.3287455,40.92892186,60.47415977
B.1.1_DTA_MCC_763,25,18,11,17/03/2020,08/05/2020,52,550.9833274,166.087312,49.69338865
B.1.pruned_DTA_MCC_404,25,25,6,24/03/2020,02/06/2020,70,442.1231848,98.39048518,136.535525
B.1.pruned_DTA_MCC_769,25,25,2,08/04/2020,13/05/2020,35,20.73490379,3.179351915,0
B.1.1_DTA_MCC_122,24,9,5,13/03/2020,19/05/2020,67,396.4789988,209.5425624,234.0811663
B.1.1_DTA_MCC_158,24,19,15,18/03/2020,11/05/2020,54,385.8359118,191.9059681,190.3375218
B.1.1_DTA_MCC_530,24,24,7,23/03/2020,22/05/2020,60,556.6651849,104.590581,54.35917083
B.1.1_DTA_MCC_178,23,19,8,20/03/2020,28/04/2020,39,305.6304423,105.9705683,56.97509324
B.1.1_DTA_MCC_217,23,20,9,20/03/2020,25/05/2020,66,626.3784642,215.18969,185.7322958
B.1.1_DTA_MCC_285,23,14,8,27/03/2020,14/05/2020,48,356.4499563,148.6246361,129.3305379
B.1.1_DTA_MCC_431,23,6,2,07/04/2020,27/04/2020,20,66.08410224,22.02803408,0
B.1.1_DTA_MCC_638,23,18,5,25/03/2020,21/05/2020,57,259.194787,60.58568906,0
B.1.1_DTA_MCC_898,23,23,1,26/03/2020,29/04/2020,34,0,0,0
B.1.1_DTA_MCC_90,22,20,6,10/03/2020,25/05/2020,76,296.7660251,101.3072184,111.692127
B.1.1_DTA_MCC_201,22,17,8,21/03/2020,06/05/2020,46,565.740148,181.9491651,115.9255521
B.1.1_DTA_MCC_254,22,22,6,26/03/2020,13/05/2020,48,583.8581833,114.1974666,35.7078237
B.1.1_DTA_MCC_257,22,20,8,28/03/2020,04/05/2020,37,556.6651849,161.5403433,149.3318747
B.1.1_DTA_MCC_276,22,20,11,21/03/2020,21/05/2020,61,560.0755638,287.1925769,288.624408
B.1.1_DTA_MCC_312,22,19,6,23/03/2020,08/05/2020,46,532.9773625,112.3827533,128.0617108
B.1.1_DTA_MCC_410,22,17,13,27/03/2020,24/04/2020,28,523.4071998,198.6087143,149.6486157
B.1.1_DTA_MCC_427,22,22,4,31/03/2020,13/05/2020,43,279.1028235,128.6918963,115.0847613
B.1.1_DTA_MCC_123,21,19,7,10/03/2020,05/05/2020,56,260.6662317,63.052208,35.7078237
B.1.1_DTA_MCC_207,21,17,7,24/03/2020,16/05/2020,53,320.5302029,102.1656574,73.19559858
B.1.1_DTA_MCC_317,21,21,4,29/03/2020,03/05/2020,35,296.5627776,63.94739762,35.7078237
B.1.1_DTA_MCC_793,21,20,4,03/04/2020,01/05/2020,28,359.1563334,50.82048055,0
B.1.pruned_DTA_MCC_47,21,18,11,04/03/2020,22/05/2020,79,565.740148,213.4491238,215.4829917
B.1.pruned_DTA_MCC_301,21,19,5,02/04/2020,09/05/2020,37,226.7894488,69.17908158,93.851175
B.1.pruned_DTA_MCC_460,21,20,2,24/03/2020,02/06/2020,70,40.04832752,4.004832752,0
B.1.pruned_DTA_MCC_477,21,2,1,25/05/2020,15/06/2020,21,0,0,0
B.1.X_DTA_MCC_337,21,7,1,31/03/2020,14/05/2020,44,0,0,0
B.1.1_DTA_MCC_331,20,17,9,23/03/2020,10/05/2020,48,551.0910264,159.3450622,128.0617108
B.1.1_DTA_MCC_336,20,20,5,13/04/2020,08/06/2020,56,490.6938665,61.12097265,0
B.1.1_DTA_MCC_471,20,17,5,02/04/2020,23/05/2020,51,258.8829014,66.33905833,56.41931885
B.1.1_DTA_MCC_701,20,18,2,07/04/2020,01/05/2020,24,286.0296911,104.6906059,0
B.1.pruned_DTA_MCC_198,20,17,4,19/03/2020,22/05/2020,64,368.3532263,113.67866,44.12373177
B.1.pruned_DTA_MCC_562,20,20,3,17/03/2020,26/04/2020,40,179.6978035,20.40218097,0
B.1.X_DTA_MCC_96,20,19,3,16/03/2020,01/05/2020,46,520.028836,115.1929284,0
B_DTA_MCC_135,19,18,10,15/03/2020,05/05/2020,51,551.0910264,284.9827137,279.1028235
B.1.1_DTA_MCC_159,19,17,10,19/03/2020,28/04/2020,40,572.0604249,208.9612421,188.2974115
B.1.1_DTA_MCC_263,19,16,13,28/03/2020,15/05/2020,48,343.1045721,161.6477679,170.0303057
B.1.1_DTA_MCC_379,19,15,4,03/04/2020,29/05/2020,56,448.4949208,129.5384188,0
B.1.1_DTA_MCC_508,19,14,4,24/03/2020,07/05/2020,44,484.0793723,90.22027385,0
B.1.pruned_DTA_MCC_289,19,19,7,23/03/2020,24/04/2020,32,548.9408521,76.49363206,30.78597476
