"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"771",2020-03-21,"Sweden",200,1622,53842.1171158851,39546.3768697391,73523.3268118776,8031.19466539539,6050.92878158819,10702.2985580372,6,16,28.3752488388396,16.885263427,44.8947810612954,4.50782317984308,3.04873187195545,6.41673079313846,2.60885485242536,2.21276442746385,3.03146100931341
"772",2020-03-22,"Sweden",123,1745,63273.7582935646,46508.8060791753,86199.9167036119,9431.64117767955,6962.42920943619,12676.5898917343,4,20,33.6821192580067,20.5903544066134,52.3015741638612,5.30687041916711,3.70509097961337,7.40679310256575,2.60676217546688,2.21134748955928,3.02920440520319
"773",2020-03-23,"Sweden",160,1905,74349.6321086238,54574.2842483088,101262.089936373,11075.8738150592,8065.4781691336,15062.1732327607,1,21,39.9270144814411,25.0606401075435,60.7977058947351,6.24489522343432,4.47028570093013,8.49613173087391,2.60430163995711,2.209548958976,3.02569480529126
"774",2020-03-24,"Sweden",110,2015,87355.2253230588,63822.9106031076,119206.159777117,13005.593214435,9248.62635479877,17944.0698407448,4,25,47.2731964918259,30.4647777378889,70.5665826770911,7.34618201038488,5.40413763034535,9.76887678235605,2.60140870240962,2.20719680146353,3.0214747028589
"775",2020-03-25,"Sweden",256,2271,102624.440326129,74449.7256308395,140622.741532955,15269.2150030705,10626.8150277319,21416.5817558373,11,36,55.91195035294,36.9880560864052,81.8452435734124,8.63875386111409,6.52327834851634,11.2786608963213,2.59800769259547,2.20489826570746,3.0171987272947
"776",2020-03-26,"Sweden",238,2509,120547.248998659,86577.1550996738,166237.016542849,17922.8086725296,12127.4294688343,25614.2750098941,6,42,66.0675928746323,44.8624112380968,94.9149491643432,10.1556425216922,7.87435515169162,13.0697055909308,2.59401000693075,2.2024562835912,3.01159098319025
"777",2020-03-27,"Sweden",296,2805,141578.313825275,100450.577608647,196871.411858134,21031.0648266161,13873.4225089729,30634.3953152848,24,66,78.0037269592087,54.3095409679599,109.924386389904,11.9361340845764,9.4471297298631,15.0094372255606,2.58931204787569,2.19968061650306,3.00505699771535
"778",2020-03-28,"Sweden",240,3045,166246.582623988,116323.554304593,233299.564522798,24668.2687987132,15872.976695946,36428.1526646643,26,92,92.0290957759745,65.5361820451852,127.291225260356,14.0253688167658,11.2266410772252,17.3668388704523,2.58379290093575,2.19652669214513,2.99631346322204
"779",2020-03-29,"Sweden",401,3446,174134.040527864,122399.882360192,243604.150604624,7887.45790387581,6076.32805559943,10304.5860818261,10,102,108.506567577869,78.9269950832635,147.383282129599,16.4774718018946,13.3908130380783,20.092056869243,0.718030501297248,0.527847212621109,0.936393024954049
"780",2020-03-30,"Sweden",253,3699,183104.793270392,129278.305172273,255354.614548206,8970.75274252761,6878.42281208108,11750.463943582,8,110,127.861821382892,94.8319615134568,170.729961816815,19.3552538050232,15.9049664301933,23.3466796872162,0.717457071203554,0.527465825045031,0.935735548465139
"781",2020-03-31,"Sweden",328,4027,192632.180550998,136523.915087183,267900.952753148,9527.38728060649,7245.60991490949,12546.3382049422,36,146,150.586325209032,113.651403281018,197.84822353168,22.7245038261397,18.8194417675607,27.1182617148643,0.716805396389678,0.527018711219011,0.935003580735473
"782",2020-04-01,"Sweden",407,4434,202271.737506697,143819.64942491,280630.635635964,9639.55695569868,7295.73433772725,12729.6828828155,34,180,177.218600106757,135.72763030714,229.424727613159,26.6322748977248,22.076227026122,31.5765040814791,0.716113133248053,0.526540204499772,0.93422077215513
"783",2020-04-02,"Sweden",512,4946,211751.382286044,150937.583644219,293241.451737719,9479.64477934742,7117.93421930952,12610.8161017553,59,239,208.32483545982,161.521570472152,266.355155598224,31.1062353530634,25.7939401650122,36.9304279850655,0.715412029492018,0.526060001210707,0.933418810147415
"784",2020-04-03,"Sweden",519,5465,220931.13642096,157740.444628355,305523.889649196,9179.75413491629,6802.86098413548,12282.4379114769,43,282,244.421927693587,191.492489420222,309.424481739902,36.0970922337663,29.9709189480701,43.0693261416776,0.714721504008333,0.525596576639036,0.932612582333104
"785",2020-04-04,"Sweden",612,6077,229751.793415094,164170.316153425,317482.716639913,8820.65699413317,6429.87152507012,11958.826990717,51,333,285.991890248457,225.861752047812,359.18308318521,41.5699625548706,34.36926262759,49.7586014453081,0.714051553626173,0.52515941472405,0.931581885561235
"786",2020-04-05,"Sweden",365,6442,238197.511353528,170202.37879333,329037.732814135,8445.71793843415,6032.06263990485,11555.0161742219,40,373,333.32235127923,264.68003293323,416.308159990601,47.3304610307732,38.8182808854177,57.1250768053908,0.713406431756378,0.524752259859266,0.930349219413725
"787",2020-04-06,"Sweden",387,6829,246273.269086666,175824.649706922,340362.210523978,8075.75773313855,5622.27091359215,11324.4777098435,28,401,386.67744288696,308.201987109777,480.989405009863,53.3550916077298,43.5219541765476,64.6812450192626,0.71278731873703,0.524375634232547,0.929129565900757
"788",2020-04-07,"Sweden",376,7205,253992.779381642,181014.033859482,351361.385752193,7719.51029497597,5189.38415255983,10999.1752282148,76,477,446.062608378424,356.358067539717,553.173144337842,59.3851654914644,48.1560804299402,72.1837393279792,0.712193924618382,0.524028444361495,0.927923705352813
"789",2020-04-08,"Sweden",487,7692,261372.614186223,185805.11221558,362116.184019624,7379.83480458031,4791.07835609764,10754.7982674307,114,591,511.347544248215,409.163026956419,632.605255773142,65.2849358697909,52.8049594167021,79.4321114352997,0.711625344437869,0.523708898286233,0.926731787098355
"790",2020-04-09,"Sweden",726,8418,268429.635672793,190239.490412116,372697.27667568,7057.02148656998,4434.37819653633,10581.0926560563,96,687,582.334818594539,466.62477538416,719.137416470532,70.9872743463235,57.4617484277407,86.5321606973899,0.711080471511867,0.523414984920695,0.925553771517597
"791",2020-04-10,"Sweden",722,9140,275180.028476503,194372.000506701,383093.175184162,6750.39280371088,4132.51009458519,10395.8985084824,106,793,658.578011866965,528.412493422516,811.962444756857,76.2431932724265,61.787718038356,92.8250282863251,0.710558176798173,0.523144702837332,0.92438959437424
"792",2020-04-11,"Sweden",544,9684,281639.033291159,198181.974010727,393311.085189993,6459.00481465598,3809.97350402594,10217.9100058303,77,870,739.667774889671,593.970001213939,910.558229258224,81.0897630227055,65.5575077914226,98.5957845013672,0.710057375716878,0.522888842148186,0.923239212385808
"793",2020-04-12,"Sweden",466,10150,287820.948621683,201697.315475192,403291.012814619,6181.91533052393,3515.34146446484,9979.92762462628,17,887,825.113984498419,663.25692775463,1014.19894639327,85.4462096087481,69.2869265406914,103.640717135045,0.709577046129575,0.52262952194413,0.922102605759724
"794",2020-04-13,"Sweden",332,10482,293739.211930511,204942.119976492,413063.128473846,5918.26330882754,3244.80450130042,9772.11565922739,12,899,914.286289177544,735.888155058804,1122.15275709793,89.1723046791251,72.6312273041737,107.95381070466,0.709116227917361,0.522391383614832,0.920979769498785
